0, 23
1, 17
2, 9
3, 15
4, 11
5, 12
6, 10
7, 18
8, 22
9, 25
10, 33
11, 38
12, 71
13, 97
14, 93
15, 120
16, 134
17, 156
18, 173
19, 205
20, 221
21, 220
22, 204
23, 210
24, 195
25, 188
26, 187
27, 198
28, 211
29, 197
30, 202
31, 209
32, 240
33, 237
34, 274
35, 302
36, 298
37, 313
38, 422
39, 371
40, 390
41, 425
42, 450
43, 446
44, 511
45, 600
46, 523
47, 542
48, 490
49, 455
50, 454
51, 430
52, 390
53, 345
54, 372
55, 287
56, 286
57, 259
58, 232
59, 161
60, 137
61, 123
62, 128
63, 94
64, 75
65, 60
66, 67
67, 50
68, 46
69, 40
70, 32
71, 27
72, 19
73, 22
74, 26
75, 22
76, 20
77, 19
78, 20
79, 14
80, 27
81, 19
82, 20
83, 10
84, 23
85, 21
86, 19
87, 16
88, 21
89, 30
90, 23
91, 33
92, 24
93, 18
94, 26
95, 22
96, 27
97, 25
98, 24
99, 29
100, 27
101, 30
102, 29
103, 29
104, 25
105, 19
106, 29
107, 40
108, 30
109, 27
110, 31
111, 36
112, 45
113, 35
114, 41
115, 49
116, 45
117, 34
118, 48
119, 39
120, 49
121, 38
122, 33
123, 66
124, 53
125, 42
126, 59
127, 65
128, 66
129, 65
130, 74
131, 79
132, 75
133, 92
134, 69
135, 73
136, 75
137, 80
138, 86
139, 95
140, 89
141, 106
142, 107
143, 115
144, 114
145, 134
146, 135
147, 147
148, 159
149, 181
150, 199
151, 199
152, 209
153, 209
154, 225
155, 267
156, 221
157, 215
158, 275
159, 312
160, 291
161, 292
162, 283
163, 238
164, 226
165, 217
166, 227
167, 213
168, 230
169, 202
170, 192
171, 230
172, 216
173, 193
174, 197
175, 190
176, 185
177, 179
178, 183
179, 193
180, 163
181, 199
182, 182
183, 183
184, 134
185, 165
186, 158
187, 153
188, 132
189, 124
190, 73
191, 65
192, 41
193, 48
194, 42
195, 50
196, 38
197, 37
198, 24
199, 17
200, 27
201, 19
202, 15
203, 19
204, 20
205, 25
206, 20
207, 13
208, 18
209, 17
210, 18
211, 13
212, 23
213, 29
214, 17
215, 25
216, 12
217, 20
218, 32
219, 28
220, 28
221, 24
222, 43
223, 32
224, 30
225, 38
226, 45
227, 32
228, 38
229, 53
230, 42
231, 49
232, 39
233, 34
234, 53
235, 61
236, 58
237, 65
238, 69
239, 66
240, 68
241, 77
242, 92
243, 91
244, 151
245, 109
246, 142
247, 150
248, 215
249, 176
250, 295
251, 337
252, 356
253, 759
254, 18211
255, 0
