0, 9652
1, 9652
2, 9652
3, 9144
4, 9144
5, 9144
6, 9144
7, 9398
8, 9652
9, 9398
10, 9144
11, 9398
12, 9652
13, 9144
14, 8636
15, 8636
16, 7874
17, 8382
18, 8890
19, 8636
20, 8382
21, 8636
22, 7874
23, 8128
24, 8636
25, 8382
26, 7112
27, 6096
28, 7112
29, 8382
30, 8636
31, 8382
32, 8128
33, 7366
34, 7366
35, 7620
36, 8636
37, 7874
38, 7620
39, 8128
40, 7112
41, 8128
42, 7112
43, 7620
44, 7112
45, 8128
46, 8128
47, 8890
48, 7874
49, 7874
50, 7620
51, 7366
52, 7112
53, 7620
54, 8636
55, 8128
56, 7874
57, 7366
58, 8382
59, 8636
60, 8382
61, 8382
62, 8890
63, 8636
64, 8382
65, 8128
66, 7874
67, 8382
68, 8128
69, 8382
70, 8382
71, 9144
72, 8636
73, 8382
74, 7874
75, 8636
76, 8890
77, 8382
78, 8382
79, 7874
80, 7620
81, 7874
82, 8382
83, 8636
84, 8636
85, 8890
86, 8636
87, 8636
88, 9144
89, 9652
90, 9398
91, 9398
92, 9652
93, 9652
94, 9652
95, 9652
96, 9652
97, 9652
